구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,총 합
1. 매출액,"508,494,882","505,893,301","554,269,762","505,895,805","510,000,000","510,000,000","520,000,000","520,000,000","520,000,000","530,000,000","530,000,000","700,000,000","6,414,553,750"
2. 판매비와 관리비,"675,392,140","539,468,530","497,094,329","550,686,233","497,094,329","497,094,329","497,094,329","497,094,329","497,094,329","497,094,329","497,094,329","497,094,329","6,239,395,864"
직원급여,"207,325,417","212,945,537","215,965,862","215,997,917","215,965,862","215,965,862","215,965,862","215,965,862","215,965,862","215,965,862","215,965,862","215,965,862","2,579,961,629"
퇴직급여,"12,340,862","18,659,587","10,317,060","12,973,889","10,317,060","10,317,060","10,317,060","10,317,060","10,317,060","10,317,060","10,317,060","10,317,060","136,827,878"
복리후생비,"164,937,800","45,633,357","17,328,475","28,475,584","17,328,475","17,328,475","17,328,475","17,328,475","17,328,475","17,328,475","17,328,475","17,328,475","395,003,016"
여비교통비,"1,209,554","2,902,642","773,270","1,068,077","773,270","773,270","773,270","773,270","773,270","773,270","773,270","773,270","12,139,703"
접대비(기업업무추진비),"100,000","50,000","139,000","61,273","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","1,462,273"
통신비,"507,154","467,892","520,751","996,756","520,751","520,751","520,751","520,751","520,751","520,751","520,751","520,751","6,658,561"
전력비,"858,812","1,152,823","830,496","741,994","830,496","830,496","830,496","830,496","830,496","830,496","830,496","830,496","10,228,093"
세금과공과금,"7,598,310","7,875,270","8,968,140","9,539,530","8,968,140","8,968,140","8,968,140","8,968,140","8,968,140","8,968,140","8,968,140","8,968,140","105,726,370"
감가상각비,"4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","4,601,453","55,217,436"
지급임차료,"5,000,000",0,"2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","30,000,000"
보험료,"3,030,770","2,928,330","2,714,430","3,431,950","2,714,430","2,714,430","2,714,430","2,714,430","2,714,430","2,714,430","2,714,430","2,714,430","33,820,920"
차량유지비,"2,320,820","2,367,211","1,998,130","2,034,874","1,998,130","1,998,130","1,998,130","1,998,130","1,998,130","1,998,130","1,998,130","1,998,130","24,706,075"
경상연구개발비,"1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","1,720,000","20,640,000"
교육훈련비,"843,237","2,077,255","242,752","529,110","242,752","242,752","242,752","242,752","242,752","242,752","242,752","242,752","5,634,370"
도서인쇄비,"128,288","126,900","285,030","260,600","285,030","285,030","285,030","285,030","285,030","285,030","285,030","285,030","3,081,058"
사무용품비,"500,982","84,138","202,455",0,"202,455","202,455","202,455","202,455","202,455","202,455","202,455","202,455","2,407,215"
소모품비,"488,547","376,401","479,683","843,547","479,683","479,683","479,683","479,683","479,683","479,683","479,683","479,683","6,025,642"
지급수수료,"27,140,784","6,495,494","8,693,153","14,803,057","8,693,153","8,693,153","8,693,153","8,693,153","8,693,153","8,693,153","8,693,153","8,693,153","126,677,712"
광고선전비,"20,800,757","15,696,145","26,020,357","21,467,572","26,020,357","26,020,357","26,020,357","26,020,357","26,020,357","26,020,357","26,020,357","26,020,357","292,147,687"
건물관리비,"1,382,590","1,438,470","1,384,330","1,360,340","1,384,330","1,384,330","1,384,330","1,384,330","1,384,330","1,384,330","1,384,330","1,384,330","16,640,370"
외주비,"206,834,639","206,869,625","186,409,502","222,028,710","186,409,502","186,409,502","186,409,502","186,409,502","186,409,502","186,409,502","186,409,502","186,409,502","2,313,418,492"
수선비,"721,364",0,0,"250,000",0,0,0,0,0,0,0,0,"971,364"
무형고정자산상각,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","60,000,000"
Ⅴ. 영업이익(손실),"-166,897,258","-33,575,229","57,175,433","-44,790,428","12,905,671","12,905,671","22,905,671","22,905,671","22,905,671","32,905,671","32,905,671","202,905,671","175,157,886"
영업이익률(%),-32.80%,-6.60%,10.30%,-8.90%,2.50%,2.50%,4.40%,4.40%,4.40%,6.20%,6.20%,29.00%,2.70%
Ⅵ. 영업외수익,"17,100,738",742,"37,771","8,307,230",0,0,0,0,0,0,0,0,"17,100,738"
국고지원금/이자수익,0,0,"37,057",0,0,0,0,0,0,0,0,0,
잡이익,"17,100,738",742,714,"8,307,230",0,0,0,0,0,0,0,0,
Ⅶ. 영업외비용,"3,707,259","8,576,448","3,352,876","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232"
이자비용,"3,707,259","8,576,448","3,352,876","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232","3,741,232"
사내근로복지기금지원,0,0,0,0,0,0,0,0,0,0,0,0,
Ⅷ. 법인세차감전손익,"-153,503,779","-42,150,935","53,860,328","-40,224,430","9,164,439","9,164,439","19,164,439","19,164,439","19,164,439","29,164,439","29,164,439","199,164,439","188,517,392"
Ⅸ. 법인세등,0,0,0,0,0,0,0,0,0,0,0,0,
손익,"-153,503,779","-42,150,935","53,860,328","-40,224,430","9,164,439","9,164,439","19,164,439","19,164,439","19,164,439","29,164,439","29,164,439","199,164,439","188,517,392"
