,항목,비용성격,분류,내용,거래처,부서,절감가능여부,절감 우선순위,절감시기,날짜,1월,2월,3월,4월,5월(E)-절감X,6월,7월,8월,9월,10월,11월,12월,합계,비중,,,,,,,,,,,
,지급수수료,변동,,카드수수료,카드수수료,,X,,,1월 1일,400,400,,,400,,,,,,,,,,,,,,,,,,,,
,지급수수료,고정,사무실,스탠드형 직수얼음정수기 1,SK매직(주),,X,,,1월 1일,"42,636","42,636","42,636","42,636","42,636",,,,,,,,,,,,,,,,,,,,
,지급수수료,준변동,서류,민원발급수수료 ,법원행정처,,X,,,1월 5일,"10,000",,"1,000","15,000","10,000",,,,,,,,,,,,,,,,,,,,
,지급수수료,준변동,서류,민원발급수수료,（주) 엘지씨엔에스,,X,,,1월 28일,"1,700",,,"1,000","1,000",,,,,,,,,,,,,,,,,,,,
,지급수수료,준변동,서류,서류발급,엔에이치엔케이씨피주식회사,,X,,,1월 15일,"8,637","36,366","2,728",,"10,000",,,,,,,,,,,,,,,,,,,,
,지급수수료,일시,서류,수수료,킨코스코리아(주),,X,,,1월 18일,"38,310",,,,,,,,,,,,,,,,,,,,,,,,
,지급수수료,고정,사무실,텔레캅서비스,케이티텔레캅(주),,X,,,1월 5일,"60,000","60,000","60,000","60,000","60,000",,,,,,,,,,,,,,,,,,,,
,지급수수료,고정,사무실,프린터 기본 임대료,마이컴센터,,X,,,1월 5일,"50,000","50,000","50,000","50,000","50,000",,,,,,,,,,,,,,,,,,,,
,지급수수료,고정,사무실,2026년 1월 임대 D320,신도H렌탈,,X,,,1월 5일,"70,000","70,000","70,000","70,000","70,000",,,,,,,,,,,,,,,,,,,,
,지급수수료,준고정,사무솔루션,원티드스페이스 월간 이용료,나이스정보통신(주),,X,,,1월 5일,"96,000","85,000","95,285","96,160","96,160",,,,,,,,,,,,,,,,,,,,
,지급수수료,준변동,사무실,주차권구매,대륭포스트타워1차입주자대표운영위원회,,X,,,1월 5일,"75,000",,,"165,000",,,,,,,,,,,,,,,,,,,,,
,지급수수료,준변동,사무솔루션,Adobe-회사계정 월간 구독료,엔에이치엔케이씨피주식회사,,X,,,1월 6일,"104,000","104,000","104,000","94,546","94,546",,,,,,,,,,,,,,,,,,,,
,지급수수료,준고정,,수수료,나이스정보통신(주),,판단필요,,,1월 6일,"12,638","66,265","4,455",,"27,786",,,,,,,,,,,,,,,,,,,,
,지급수수료,일시(일회),,수수료,주식회사 코스트제로컨설팅,,세모,,,1월 9일,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,
,지급수수료,일시(일회),,수수료,주식회사헥토파이낸셜,,판단필요,,,1월 12일,"145,200",,,,,,,,,,,,,,,,,,,,,,,,
,지급수수료,변동,,수수료,한국정보통신(주),,,,,3월 17일,,,"9,091",,,,,,,,,,,,,,,,,,,,,,
,지급수수료,일시,,04월 경비청구 - 김상철,주식회사헥토파이낸셜,,O,,,4월 17일,,,,"7,273",,,,,,,,,,,,,,,,,,,,,
,지급수수료,일시,사무솔루션,"부스터 패키지 - 가상계좌 1 X 522,327",㈜사람인에이치알,,,,,1월 7일,"522,327",,,,,,,,,,,,,,,,,,,,,,,,
,지급수수료,고정,사무실,렌탈료 1,청호나이스(주),,,,,1월 9일,"45,364","45,364","45,364","45,364","45,364",,,,,,,,,,,,,,,,,,,,
